21.01.2018;2,003;1,931;2,004;1,874;2,30%
14.01.2018;1,958;1,989;2,021;1,924;-1,66%
07.01.2018;1,991;2,011;2,064;1,954;-0,15%
31.12.2017;1,994;2,014;2,102;1,969;-0,20%
24.12.2017;1,998;1,901;2,002;1,897;4,77%
17.12.2017;1,907;1,807;1,965;1,779;5,24%
10.12.2017;1,812;1,645;1,815;1,636;10,29%
03.12.2017;1,643;1,733;1,742;1,633;-3,52%
26.11.2017;1,703;1,799;1,803;1,701;-6,68%
19.11.2017;1,825;1,830;1,832;1,750;-0,44%
12.11.2017;1,833;1,831;1,858;1,794;-0,70%
05.11.2017;1,846;1,779;1,850;1,696;3,19%
29.10.2017;1,789;1,908;1,920;1,770;-8,07%
22.10.2017;1,946;2,038;2,077;1,921;-4,89%
15.10.2017;2,046;2,092;2,095;1,989;-1,87%
08.10.2017;2,085;2,177;2,214;2,056;-5,40%
01.10.2017;2,204;2,208;2,282;2,187;1,52%
24.09.2017;2,171;2,196;2,256;2,149;-0,05%
17.09.2017;2,172;2,136;2,203;2,083;1,45%
10.09.2017;2,141;2,015;2,151;1,999;9,29%
03.09.2017;1,959;2,070;2,071;1,901;-5,59%
27.08.2017;2,075;2,100;2,116;2,020;-1,00%
20.08.2017;2,096;2,020;2,166;1,993;3,15%
13.08.2017;2,032;2,041;2,062;2,001;0,15%
06.08.2017;2,029;1,992;2,049;1,967;0,79%
30.07.2017;2,013;2,095;2,109;1,977;-5,09%
23.07.2017;2,121;2,067;2,166;2,022;2,36%
16.07.2017;2,072;2,273;2,274;2,064;-9,48%
09.07.2017;2,289;2,320;2,342;2,214;-2,22%
02.07.2017;2,341;2,140;2,345;2,094;8,63%
25.06.2017;2,155;1,921;2,173;1,870;12,24%
18.06.2017;1,920;1,965;1,971;1,853;-3,47%
11.06.2017;1,989;2,023;2,029;1,918;-4,56%
04.06.2017;2,084;2,243;2,300;2,082;-7,83%
28.05.2017;2,261;2,108;2,266;2,108;7,87%
21.05.2017;2,096;2,128;2,146;2,093;-1,73%
14.05.2017;2,133;2,275;2,284;2,108;-5,33%
07.05.2017;2,253;2,196;2,304;2,180;4,06%
30.04.2017;2,165;2,332;2,355;2,151;-5,09%
23.04.2017;2,281;2,205;2,334;2,151;1,29%
16.04.2017;2,252;2,299;2,321;2,221;-2,38%
09.04.2017;2,307;2,249;2,322;2,226;3,55%
02.04.2017;2,228;2,328;2,358;2,187;-3,63%
26.03.2017;2,312;2,365;2,398;2,277;-3,55%
19.03.2017;2,397;2,533;2,569;2,370;-5,41%
12.03.2017;2,534;2,352;2,598;2,249;7,42%
05.03.2017;2,359;2,098;2,371;2,098;12,28%
26.02.2017;2,101;2,183;2,184;2,074;-4,33%
19.02.2017;2,196;2,172;2,273;2,160;0,41%
12.02.2017;2,187;2,284;2,329;2,131;-3,61%
05.02.2017;2,269;2,283;2,393;2,169;-0,09%
29.01.2017;2,271;2,279;2,349;2,212;1,88%
22.01.2017;2,229;2,003;2,284;1,977;10,02%
